,a,b,e,c,d
346,6,0,-8,6,1
347,6,0,-8,6,1
348,6,0,-8,6,1
349,6,0,-8,6,1
350,6,0,-8,6,1
351,6,0,-8,6,1
352,6,0,-8,6,1
353,6,0,-8,6,1
354,6,0,-8,6,1
355,6,0,-8,6,1
356,6,0,-8,6,1
357,-4,0,-3,-4,1
358,-4,0,-3,-4,1
359,-4,0,-3,-4,1
360,-4,0,-3,-4,1
361,-4,0,-3,-4,1
362,-4,0,-3,-4,1
363,-4,0,-3,-4,1
364,-4,0,-3,-4,1
365,-4,0,-3,-4,1
366,-4,0,-3,-4,1
367,-4,0,-3,-4,1
368,-4,0,-3,-4,1
369,-4,0,-3,-4,1
370,-4,0,-3,-4,1
371,-4,0,-3,-4,1
372,-4,0,-3,-4,1
373,-4,0,-3,-4,1
374,-4,0,-3,-4,1
375,-4,0,-3,-4,1
376,-4,0,-3,-4,1
377,-4,0,-3,-4,1
378,-4,0,-3,-4,1
379,-4,0,-3,-4,1
380,-4,0,-3,-4,1
381,-4,0,-3,-4,1
382,-4,0,-3,-4,1
383,-4,0,-3,-4,1
384,-4,0,-3,-4,1
385,-4,0,-3,-4,1
386,-4,0,-3,-4,1
387,-4,0,-3,-4,1
388,-4,0,-3,-4,1
389,-4,0,-3,-4,1
390,-4,0,-3,-4,1
391,-4,0,-3,-4,1
392,-4,0,-3,-4,1
393,-4,0,-3,-4,1
394,-4,0,-3,-4,1
395,-4,0,-3,-4,1
396,-4,0,-3,-4,1
397,-4,0,-3,-4,1
398,-4,0,-3,-4,1
399,-4,0,-3,-4,1
400,-4,0,-3,-4,1
401,-4,0,-3,-4,1
402,-4,0,-3,-4,1
403,-4,0,-3,-4,1
404,-4,0,-3,-4,1
405,-4,0,-3,-4,1
406,-4,0,-3,-4,1
407,-4,0,-3,-4,1
408,-4,0,-3,-4,1
409,-4,0,-3,-4,1
410,-4,0,-3,-4,1
411,-4,0,-3,-4,1
412,-4,0,-3,-4,1
413,-4,0,-3,-4,1
414,-4,0,-3,-4,1
415,-4,0,-3,-4,1
416,-4,0,-3,-4,1
417,-4,0,4,-4,1
418,-4,0,4,-4,1
419,-4,0,4,-4,1
420,-4,0,4,-4,1
421,-4,0,4,-4,1
422,-4,0,4,-4,1
423,-4,0,4,-4,1
424,-4,0,4,-4,1
425,-4,0,4,-4,1
426,-4,0,4,-4,1
427,-4,0,4,-4,1
428,-4,0,4,-4,1
429,-4,0,4,-4,1
430,-4,0,4,-4,1
431,-4,0,4,-4,1
432,-4,0,4,-4,1
433,-4,0,4,-4,1
434,-4,0,4,-4,1
435,-4,0,4,-4,1
436,-4,0,4,-4,1
437,-4,0,4,-4,1
438,-4,0,4,-4,1
439,-4,0,4,-4,1
440,-4,0,4,-4,1
441,-4,0,4,-4,1
442,-4,0,4,-4,1
443,-4,0,4,-4,1
444,-4,0,4,-4,1
445,-4,0,4,-4,1
446,-4,0,4,-4,1
447,-4,0,4,-4,1
448,-4,0,4,-4,1
449,-4,0,4,-4,1
450,-4,0,4,-4,1
451,-4,0,4,-4,1
452,-4,0,4,-4,1
453,-4,0,4,-4,1
454,-4,0,4,-4,1
455,-4,0,4,-4,1
456,-4,0,4,-4,1
457,-4,0,4,-4,1
458,-4,0,4,-4,1
459,-4,0,4,-4,1
460,-4,0,4,-4,1
461,-4,0,4,-4,1
462,-4,0,4,-4,1
463,-4,0,4,-4,1
464,-4,0,4,-4,1
465,-4,0,4,-4,1
466,-4,0,4,-4,1
467,-4,0,4,-4,1
468,-4,0,4,-4,1
469,-4,0,4,-4,1
470,-4,0,4,-4,1
471,-4,0,4,-4,1
472,-4,0,4,-4,1
473,-4,0,4,-4,1
474,-4,0,4,-4,1
475,-4,0,4,-4,1
476,-4,0,4,-4,1
477,4,0,-9,4,1
478,4,0,-9,4,1
479,4,0,-9,4,1
480,4,0,-9,4,1
481,4,0,-9,4,1
482,4,0,-9,4,1
483,4,0,-9,4,1
484,4,0,-9,4,1
485,4,0,-9,4,1
486,4,0,-9,4,1
487,4,0,-9,4,1
488,4,0,-9,4,1
489,4,0,-9,4,1
490,4,0,-9,4,1
491,4,0,-9,4,1
492,4,0,-9,4,1
493,4,0,-9,4,1
494,4,0,-9,4,1
495,4,0,-9,4,1
496,4,0,-9,4,1
497,4,0,-9,4,1
498,4,0,-9,4,1
499,4,0,-9,4,1
500,4,0,-9,4,1
501,4,0,-9,4,1
502,4,0,-9,4,1
503,4,0,-9,4,1
504,4,0,-9,4,1
505,4,0,-9,4,1
506,4,0,-9,4,1
507,4,0,-9,4,1
508,4,0,-9,4,1
509,4,0,-9,4,1
510,4,0,-9,4,1
511,4,0,-9,4,1
512,4,0,-9,4,1
513,4,0,-9,4,1
514,4,0,-9,4,1
515,4,0,-9,4,1
516,4,0,-9,4,1
517,4,0,-9,4,1
518,4,0,-9,4,1
519,4,0,-9,4,1
520,4,0,-9,4,1
521,-4,0,-4,-4,1
522,-4,0,-4,-4,1
523,-4,0,-4,-4,1
524,-4,0,-4,-4,1
525,-4,0,-4,-4,1
526,-4,0,-4,-4,1
527,-4,0,-4,-4,1
528,-4,0,-4,-4,1
529,-4,0,-4,-4,1
530,-4,0,-4,-4,1
531,-4,0,-4,-4,1
532,-4,0,-4,-4,1
533,-4,0,-4,-4,1
534,-4,0,-4,-4,1
535,-4,0,-4,-4,1
536,-4,0,-4,-4,1
537,-4,0,-4,-4,1
538,-4,0,-4,-4,1
539,-4,0,-4,-4,1
540,-4,0,-4,-4,1
541,-4,0,-4,-4,1
542,-4,0,-4,-4,1
543,-4,0,-4,-4,1
544,-4,0,-4,-4,1
545,-4,0,-4,-4,1
546,-4,0,-4,-4,1
547,-4,0,-4,-4,1
548,-4,0,-4,-4,1
549,-4,0,-4,-4,1
550,-4,0,-4,-4,1
551,-4,0,-4,-4,1
552,-4,0,-4,-4,1
553,-4,0,-4,-4,1
554,-4,0,-4,-4,1
555,-4,0,-4,-4,1
556,-4,0,-4,-4,1
557,-4,0,-4,-4,1
558,-4,0,-4,-4,1
559,-4,0,-4,-4,1
560,-4,0,-4,-4,1
561,-4,0,-4,-4,1
562,-4,0,-4,-4,1
563,-4,0,-4,-4,1
564,-4,0,-4,-4,1
565,-4,0,-4,-4,1
566,-4,0,-4,-4,1
567,-4,0,-4,-4,1
568,-4,0,-4,-4,1
569,-4,0,-4,-4,1
570,-4,0,-4,-4,1
571,-4,0,-4,-4,1
572,-4,0,-4,-4,1
573,-4,0,-4,-4,1
574,-4,0,-4,-4,1
575,-4,0,-4,-4,1
576,-4,0,-4,-4,1
577,-4,0,-4,-4,1
578,-4,0,-4,-4,1
579,-4,0,-4,-4,1
580,-4,0,-4,-4,1
581,-7,0,-8,-7,1
582,-7,0,-8,-7,1
583,-7,0,-8,-7,1
584,-7,0,-8,-7,1
585,-7,0,-8,-7,1
586,-7,0,-8,-7,1
587,-7,0,-8,-7,1
588,-7,0,-8,-7,1
589,-7,0,-8,-7,1
590,-7,0,-8,-7,1
591,-7,0,-8,-7,1
592,-7,0,-8,-7,1
593,-7,0,-8,-7,1
594,-7,0,-8,-7,1
595,-7,0,-8,-7,1
596,-7,0,-8,-7,1
597,-7,0,-8,-7,1
598,-7,0,-8,-7,1
599,-7,0,-8,-7,1
600,-7,0,-8,-7,1
601,-7,0,-8,-7,1
602,-7,0,-8,-7,1
